severity,severity_multiplier,file,L_gain,K_poisson,sigma_A,psnr_model,ssim_model,psnr_classical,ssim_classical,model_output_finite
1.5x,1.5,004675.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.423286160838938,0.2768021988706124,15.336916652462268,0.24812271982559794,True
1.5x,1.5,002566.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.11524790021799,0.1941186590964568,15.698133589187611,0.15151667035691865,True
1.5x,1.5,000889.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.437297341508334,0.34490496207618754,16.310256910937305,0.29306599613575596,True
1.5x,1.5,002633.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.8338360639199,0.24398687717146494,15.502299249019817,0.2099601587887106,True
1.5x,1.5,003572.npy,19.5468347897133,20.710448951067807,0.0227103659077527,19.529564951640587,0.43420580825874744,18.00541302828592,0.399638186034688,True
1.5x,1.5,004531.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.447999615199343,0.18256481504527217,15.53418286362275,0.15733694298703157,True
1.5x,1.5,003004.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.415173303977333,0.3751681275612901,16.42590804526963,0.3255428889202173,True
1.5x,1.5,003810.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.253347758358153,0.18803299726323147,15.626452434392167,0.14669267951695347,True
1.5x,1.5,000711.npy,19.5468347897133,20.710448951067807,0.0227103659077527,16.98502088271099,0.36367518539579474,14.992114484036243,0.32805099503791296,True
1.5x,1.5,000488.npy,19.5468347897133,20.710448951067807,0.0227103659077527,15.695523552154128,0.31278471366556876,14.612208320096423,0.32114632827370926,True
1.5x,1.5,003062.npy,19.5468347897133,20.710448951067807,0.0227103659077527,14.94919424978608,0.5644738440683247,13.771657970458381,0.5361970253701036,True
1.5x,1.5,001132.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.497648055291663,0.15356214886125263,16.281075366975415,0.12235736374281173,True
1.5x,1.5,004572.npy,19.5468347897133,20.710448951067807,0.0227103659077527,19.654279883995244,0.5054636461271604,16.83524466369458,0.40167981155772703,True
1.5x,1.5,003807.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.28418477707479,0.48987398567422186,14.920806322188447,0.4063706170141452,True
1.5x,1.5,000994.npy,19.5468347897133,20.710448951067807,0.0227103659077527,16.493023672317804,0.20215256693483155,14.231585981095144,0.1805012062634117,True
1.5x,1.5,000093.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.101378189304207,0.1695105666907698,15.93131083733464,0.14282389545579252,True
1.5x,1.5,000559.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.746517339082548,0.2726348499529139,17.511537007082534,0.26838186932304825,True
1.5x,1.5,003835.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.612000824175713,0.4918305291774454,16.810929209247224,0.44402804793551004,True
1.5x,1.5,002647.npy,19.5468347897133,20.710448951067807,0.0227103659077527,16.765051903388578,0.19522809358737883,14.693634730200225,0.16268075169914945,True
1.5x,1.5,004561.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.193425146873974,0.5305262663910806,16.16716579945755,0.4650150114153222,True
1.5x,1.5,001107.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.91232824313132,0.3204123457578081,16.086919132173485,0.2894674405190717,True
1.5x,1.5,002144.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.66891767117426,0.548897336173039,17.03108922074474,0.5014928415562889,True
1.5x,1.5,000803.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.657084327219653,0.4680353268105452,15.406986138170977,0.3392321884559528,True
1.5x,1.5,003553.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.06328426838781,0.4342687543048858,16.20491716032289,0.3935570793015971,True
1.5x,1.5,001804.npy,19.5468347897133,20.710448951067807,0.0227103659077527,17.59346102337059,0.2253521955446627,14.7100266072371,0.16532586737101673,True
1.5x,1.5,004043.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.530652811572494,0.1564670477875333,15.113513192579207,0.08629753735981045,True
1.5x,1.5,004501.npy,19.5468347897133,20.710448951067807,0.0227103659077527,19.56976356904502,0.5483886315465272,16.809436548090417,0.4577762369711683,True
1.5x,1.5,001399.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.786724962444644,0.2799012197423006,17.05026356904396,0.25623553836713026,True
1.5x,1.5,004322.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.02246648225738,0.2710196441264718,15.234592600309592,0.19145633730309639,True
1.5x,1.5,003780.npy,19.5468347897133,20.710448951067807,0.0227103659077527,18.84690839726168,0.3525854554105783,15.969084079755216,0.25563089473699346,True
