file,cluster,psnr,ssim,lpips,composite
003820.npy,1,21.71756219753363,0.7614976165396727,0.14638134837150574,0.6876512493345808
003830.npy,1,23.9596392207363,0.6050804666515645,0.16633109748363495,0.6786862168501164
003926.npy,1,24.671689106560272,0.7430986321425536,0.3284553289413452,0.6864741923239643
003987.npy,1,21.158533932926524,0.7210740200744494,0.1712624728679657,0.6534601586894173
003989.npy,1,22.043513260000207,0.7176817946436703,0.17603421211242676,0.6704050443993079
004018.npy,1,25.185729176581063,0.7398891655340236,0.13371795415878296,0.7617399410491038
004024.npy,1,22.72848329120113,0.6504282274243196,0.1970798522233963,0.6561935315381107
004143.npy,1,21.875606741106242,0.46271379000260004,0.23253998160362244,0.5628491970464646
004152.npy,1,21.036292209544094,0.42139616526019863,0.28060397505760193,0.5144038902796232
004158.npy,1,24.73928710505931,0.8024703339183973,0.10071385651826859,0.7836807614680276
004213.npy,1,23.491820199426392,0.7518045500773387,0.13421310484409332,0.7279042639538905
004319.npy,1,27.14643652459916,0.7858829698695755,0.16455641388893127,0.8103629969846405
004408.npy,1,24.823717191794962,0.7779931898989734,0.14302939176559448,0.7632927591954588
004440.npy,1,26.091433991492163,0.6525211502313488,0.14139659702777863,0.7501844953232382
004468.npy,1,22.25393932176233,0.5906203693327932,0.1510290503501892,0.6410624245889197
004505.npy,1,26.45753020728357,0.822723092609005,0.14895689487457275,0.8125338482955566
004514.npy,1,26.035727985934876,0.8627511450605094,0.17964844405651093,0.8062726333554411
004623.npy,1,25.431899453246622,0.747624761787835,0.09104009717702866,0.784014876053527
000008.npy,2,24.220859382803038,0.6405301240714366,0.1910395473241806,0.6880715118669306
000092.npy,2,20.451017532514232,0.32686812719815267,0.22900232672691345,0.4870889897685071
000102.npy,2,23.322081289010267,0.5838925494726152,0.1844819039106369,0.6514053549431098
000134.npy,2,23.539489259952795,0.6248495052486644,0.18942919373512268,0.6682398651701316
000231.npy,2,27.32254446123472,0.560266180416584,0.11446288973093033,0.7557687515893228
000346.npy,2,20.064195553967892,0.3955749874906605,0.23755291104316711,0.49854503779289533
000349.npy,2,22.728140713291882,0.5556291635467401,0.19464710354804993,0.6253971469616051
000450.npy,2,22.313236286318052,0.7448952586639765,0.1321917027235031,0.7000842138983367
000478.npy,2,23.380895203262888,0.5907970705538257,0.17246240377426147,0.6590203378879189
000506.npy,2,22.002679747428715,0.5423742619676413,0.22516952455043793,0.5946833513041503
000518.npy,2,22.753764408203146,0.571740312954776,0.2071356475353241,0.6271740975443316
000649.npy,2,21.48360631887911,0.5080557926190455,0.25117895007133484,0.5630390879354394
000690.npy,2,24.696221379781228,0.45138678935884685,0.13067299127578735,0.6557095189117138
000772.npy,2,19.02670728081483,0.46127637778311037,0.19041761755943298,0.5131019707593331
000800.npy,2,20.373143989110368,0.35966584275391095,0.20075570046901703,0.5057065805196395
000880.npy,2,20.76080532784937,0.5914553414518959,0.2315274178981781,0.5813272040256696
000933.npy,2,24.37546640922185,0.6291152942562541,0.13952335715293884,0.7048743436838129
000980.npy,2,25.55379343583468,0.6948626480543464,0.24174892902374268,0.7188999826954163
001105.npy,2,24.5962711084538,0.6480188236703053,0.1247914731502533,0.7209929192501017
001107.npy,2,22.210555410690993,0.5370185238540377,0.208343043923378,0.6031263913255753
001114.npy,2,23.565363069301192,0.522030376944906,0.1859777867794037,0.6356922649285272
001127.npy,2,22.847538408088162,0.5505591915108189,0.21252329647541046,0.620401707413762
001236.npy,2,22.94331529724606,0.4679599335702211,0.34646105766296387,0.5503510763523315
001391.npy,2,22.404203022496866,0.49331564387000354,0.2517181634902954,0.5784036717376109
001401.npy,2,20.38763357360324,0.46419016923593015,0.24293550848960876,0.5268100774399569
001402.npy,2,20.00027347432583,0.340493747659215,0.22858187556266785,0.4817544790172008
001560.npy,2,22.095447350828074,0.5785244989231884,0.2184637486934662,0.6110301912060868
001561.npy,2,23.91048452275556,0.6034565366161186,0.21202689409255981,0.661820648013532
001888.npy,2,26.73034330180425,0.8174347488212511,0.08967014402151108,0.8365958305288966
001901.npy,2,24.238442484259764,0.7114539124889542,0.1557283103466034,0.7238739225865561
001914.npy,2,22.76367391245367,0.751509453820711,0.24640339612960815,0.6742281061737825
002628.npy,2,28.978019301420446,0.7737728199433814,0.18367354571819305,0.8406557425510727
000538.npy,3,23.083536610577244,0.7431626701475903,0.1510830521583557,0.710327352898128
001056.npy,3,26.760147010536784,0.6060346147642471,0.19693662226200104,0.7310359310682327
002110.npy,3,25.60505148652495,0.7599442748106299,0.09041070938110352,0.7921789992881743
002112.npy,3,25.701833543613102,0.4224297303103991,0.16720138490200043,0.6562279716608684
002257.npy,3,23.929354129278,0.34668113593389466,0.24998679757118225,0.5639948712159708
002712.npy,3,29.151932787097262,0.792539753073642,0.15377618372440338,0.8607419183852407
002898.npy,3,23.87527681932033,0.7704948080667484,0.12692175805568695,0.7450860570996944
002910.npy,3,28.27488594500729,0.7640628217963409,0.14260272681713104,0.8354841637710098
002982.npy,3,22.713884298949246,0.5580018610879192,0.19883620738983154,0.6244748689871236
003000.npy,3,25.580157796337208,0.6309248090383885,0.16580548882484436,0.7234877244342304
003004.npy,3,22.803998037152823,0.638139171985481,0.19289910793304443,0.6551688666208748
003070.npy,3,26.718986353943137,0.5398899665805106,0.12864291667938232,0.7308376022768902
003803.npy,3,25.417367292177275,0.7657906110796034,0.17547167837619781,0.7616033618384079
004200.npy,3,29.79857014121304,0.8539772582914904,0.10652013123035431,0.9113428232695573
004244.npy,3,21.790590330425374,0.7345910516620604,0.15566915273666382,0.6772093069845849
004349.npy,3,29.855387835584864,0.8222720931834877,0.12825345993041992,0.8947926074306862
004451.npy,3,28.014223008666598,0.7567708662997926,0.22439071536064148,0.7999983393945302
004523.npy,3,27.91706017613469,0.7094833775963187,0.19590462744235992,0.7915720317432016
004540.npy,3,23.6936878316564,0.7324019365254417,0.19019877910614014,0.7072607820654649
004713.npy,3,23.51744937176134,0.3013115637610219,0.18521493673324585,0.5613088617150662
000445.npy,4,23.805292982000616,0.2973009421869818,0.3871946632862091,0.4990419370113823
001023.npy,4,23.105364852220873,0.40353828749859294,0.33713141083717346,0.5355881778253815
001077.npy,4,26.149128487891012,0.6237011866070071,0.19684843719005585,0.7233759939810063
001079.npy,4,28.208303819352274,0.49570606847575305,0.217512309551239,0.7195824489604441
001252.npy,4,23.267520253446598,0.3157385209494035,0.33474889397621155,0.5107192146232106
002247.npy,4,25.136937287670882,0.6215496560888645,0.24277639389038086,0.6848563604588475
002272.npy,4,23.017855027043964,0.6411947275916287,0.21879427134990692,0.6523080415704398
002273.npy,4,22.944317792307984,0.6599943909430792,0.18866541981697083,0.6669833857599914
002514.npy,4,23.21283481293969,0.5208326944072007,0.30608007311820984,0.5874249807172123
002592.npy,4,23.290333550185217,0.7855791362298615,0.17120666801929474,0.7223537905187493
002635.npy,4,28.585561791478938,0.6612765885891989,0.21766816079616547,0.7831041824083208
002710.npy,4,25.898895147646694,0.6869713261313177,0.19379831850528717,0.7399220058230478
002833.npy,4,23.175842293958663,0.5329238170240245,0.2437441051006317,0.6114119549513234
002952.npy,4,24.53960555605938,0.392141960960906,0.17692959308624268,0.6170620238706517
002961.npy,4,24.117037343069413,0.566985180291289,0.1791377067565918,0.6652166543575526
000570.npy,5,23.08134902537331,0.514664600599053,0.22533001005649567,0.6093637307447037
000605.npy,5,23.47774624098975,0.40491244084036876,0.18518702685832977,0.5949694989048963
