file,spearman_r,spearman_p
000955.npy,0.2505110049158277,0.0
001050.npy,0.16218820024887423,0.0
001149.npy,0.23809547468231929,0.0
001192.npy,0.272470659051683,0.0
001232.npy,0.16368141159918584,0.0
001285.npy,0.20945789043785754,0.0
001417.npy,0.21274838091881015,0.0
002638.npy,0.2440268141492201,0.0
002715.npy,0.1734581633022216,0.0
002718.npy,0.4513187718581044,0.0
003018.npy,0.3860214690107282,0.0
003019.npy,0.4318647622004455,0.0
003154.npy,0.27192373757861577,0.0
003184.npy,0.20510628601988162,0.0
003185.npy,0.19876892810211405,0.0
003210.npy,0.2604295846505425,0.0
003252.npy,0.20387468193242855,0.0
003309.npy,0.2720658148727225,0.0
003322.npy,0.38343560057892234,0.0
003323.npy,0.3542336954690895,0.0
003340.npy,0.4760814369252374,0.0
003539.npy,0.40073323920820175,0.0
003638.npy,0.2557497119185482,0.0
003702.npy,0.31342586833478053,0.0
003825.npy,0.2478948563598001,0.0
004016.npy,0.21665876860077593,0.0
004142.npy,0.1626916206769681,0.0
004161.npy,0.2827642571032804,0.0
004206.npy,0.18531824904021232,0.0
004343.npy,0.20915607566317493,0.0
004559.npy,0.299174622429905,0.0
004743.npy,0.15371964148506728,0.0
004776.npy,0.44723040227610983,0.0
000230.npy,0.17636839962171144,0.0
001501.npy,0.20945671090528037,0.0
001881.npy,0.20795907750694279,0.0
001887.npy,0.23979690295008468,0.0
001983.npy,0.15574793018767813,0.0
002069.npy,0.2654997464440052,0.0
002139.npy,0.11114082572607192,3.742295094984612e-179
002313.npy,0.129912766476742,1.4340663516842672e-244
002756.npy,0.41026192995706856,0.0
002773.npy,0.40078773773129955,0.0
002970.npy,0.29811478631397337,0.0
002972.npy,0.34762718100930573,0.0
002989.npy,0.36260980896810985,0.0
003129.npy,0.3468115347733241,0.0
003179.npy,0.25523800191315776,0.0
003494.npy,0.14457560558026708,5.403321564532611e-303
003559.npy,0.13561657387696163,1.5794584543815654e-266
003621.npy,0.30121665099636363,0.0
003622.npy,0.22044160257090634,0.0
003700.npy,0.15229408420615803,0.0
003788.npy,0.29853255241422405,0.0
004121.npy,0.28598160491652497,0.0
004264.npy,0.30858776548494005,0.0
004322.npy,0.12141864501109416,1.1318850114375898e-213
004332.npy,0.29775826648366477,0.0
004390.npy,0.15576533181685986,0.0
004446.npy,0.26431370005051413,0.0
000025.npy,0.31911577290220405,0.0
000223.npy,0.1685507049695099,0.0
000265.npy,0.22218431654279272,0.0
000316.npy,0.20002096620168452,0.0
000435.npy,0.4481060935457332,0.0
000583.npy,0.20019146575742497,0.0
000639.npy,0.3248788815291995,0.0
000818.npy,0.17284825634502604,0.0
000919.npy,0.19674962644862887,0.0
000937.npy,0.1889055573039386,0.0
001214.npy,0.2422376371391979,0.0
001690.npy,0.18606193258212506,0.0
